Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
00/00/00-00:00:00:1,0,1008.00,17968.00,11951.27,10201.00,19650.00,17709.00,6804.00,12325.00,8554.00,
00/00/00-00:00:00:1,0,1008.00,17968.00,11955.37,10203.00,19658.00,17710.00,6803.00,12337.00,8541.00,
00/00/00-00:00:00:1,0,1008.00,17968.00,11955.37,10200.00,19660.00,17709.00,6795.00,12330.00,8548.00,
00/00/00-00:00:00:1,0,1008.00,17968.00,11955.37,10200.00,19652.00,17708.00,6789.00,12330.00,8543.00,
00/00/00-00:00:00:1,0,1008.00,17968.00,11955.37,10205.00,19660.00,17710.00,6791.00,12331.00,8539.00,
00/00/00-00:00:00:1,0,1008.00,17968.00,11955.88,10202.00,19661.00,17713.00,6790.00,12334.00,8533.00,
00/00/00-00:00:00:1,0,1008.00,17968.00,11956.39,10199.00,19658.00,17712.00,6781.00,12332.00,8529.00,
00/00/00-00:00:00:1,0,1008.00,17968.00,11956.39,10203.00,19666.00,17714.00,6781.00,12339.00,8516.00,
00/00/00-00:00:00:1,0,1008.00,17968.00,11956.90,10202.00,19658.00,17713.00,6788.00,12327.00,8522.00,
00/00/00-00:00:00:1,0,1008.00,17968.00,11955.88,10205.00,19665.00,17712.00,6789.00,12319.00,8523.00,
00/00/00-00:00:00:1,0,1008.00,17968.00,11956.90,10203.00,19666.00,17715.00,6779.00,12328.00,8523.00,
00/00/00-00:00:00:1,0,1008.00,17968.00,11957.42,10203.00,19658.00,17712.00,6781.00,12327.00,8523.00,
00/00/00-00:00:00:1,0,1008.00,17969.00,11956.90,10202.00,19665.00,17715.00,6777.00,12330.00,8523.00,
05/10/19-11:00:02:917,1,212.00,3639.00,3577.18,3794.00,4851.00,3439.00,2171.00,3085.00,2187.00,
05/10/19-11:00:02:917,1,989.00,19740.00,5568.20,18128.00,17525.00,9734.00,6900.00,12025.00,8526.00,
05/10/19-11:00:02:917,1,1032.00,18664.00,7011.38,18109.00,17528.00,9734.00,6893.00,12041.00,8460.00,
05/10/19-11:00:02:917,1,1032.00,18664.00,7616.63,18085.00,17538.00,9731.00,6896.00,12040.00,8449.00,
05/10/19-11:00:02:917,1,1032.00,18664.00,7874.41,18058.00,17538.00,9730.00,6888.00,12031.00,8440.00,
05/10/19-11:00:02:917,1,1032.00,18664.00,7986.64,18059.00,17536.00,9739.00,6902.00,12035.00,8445.00,
05/10/19-11:00:02:917,1,1032.00,18666.00,8035.33,18043.00,17524.00,9735.00,6887.00,12032.00,8440.00,
05/10/19-11:00:02:917,1,1032.00,18666.00,8057.37,18048.00,17519.00,9737.00,6896.00,12020.00,8439.00,
05/10/19-11:00:02:917,1,1032.00,18665.00,8067.62,18094.00,17514.00,9735.00,6881.00,12034.00,8437.00,
05/10/19-11:00:02:917,1,1032.00,18665.00,8072.23,18145.00,17486.00,9732.00,6883.00,12030.00,8432.00,
