Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
05/10/19-11:36:59:825,4,1032.00,18589.00,8063.01,17788.00,18174.00,9741.00,6868.00,11906.00,8505.00,
05/10/19-11:36:59:825,4,1032.00,18590.00,8062.49,17786.00,18177.00,9739.00,6862.00,11903.00,8505.00,
05/10/19-11:36:59:825,4,1032.00,18591.00,8063.01,17785.00,18170.00,9742.00,6857.00,11897.00,8505.00,
05/10/19-11:36:59:825,4,1032.00,18589.00,8063.52,17790.00,18172.00,9738.00,6855.00,11891.00,8505.00,
05/10/19-11:37:59:824,4,1032.00,18590.00,8058.39,17788.00,18175.00,9741.00,6849.00,11898.00,8493.00,
05/10/19-11:37:59:824,4,1032.00,18592.00,8062.49,17788.00,18165.00,9738.00,6843.00,11890.00,8474.00,
05/10/19-11:37:59:824,4,850.00,15738.00,5871.60,18215.00,11094.00,13825.00,6066.00,10452.00,7670.00,
05/10/19-11:37:59:824,4,1032.00,18656.00,7942.57,22045.00,10940.00,18687.00,6962.00,11984.00,8551.00,
05/10/19-11:37:59:824,4,1032.00,18656.00,8055.32,21888.00,11007.00,19182.00,6955.00,11967.00,8544.00,
05/10/19-11:37:59:824,4,1032.00,18656.00,8059.93,21741.00,11175.00,18955.00,6931.00,11962.00,8531.00,
05/10/19-11:37:59:824,4,1032.00,18656.00,8060.44,21720.00,10967.00,18696.00,6932.00,11959.00,8523.00,
05/10/19-11:37:59:824,4,1032.00,18656.00,8060.44,21970.00,10888.00,18683.00,6922.00,11953.00,8522.00,
05/10/19-11:37:59:824,4,1032.00,18656.00,8060.44,21545.00,10997.00,18831.00,6916.00,11952.00,8500.00,
05/10/19-11:37:59:824,4,1032.00,18656.00,8060.44,22093.00,10359.00,18489.00,6904.00,11950.00,8496.00,
05/10/19-11:37:59:824,4,1032.00,18656.00,8060.44,22749.00,13471.00,19631.00,6901.00,11951.00,8496.00,
05/10/19-11:37:59:824,4,1032.00,18656.00,8060.44,21848.00,10724.00,19508.00,6890.00,11955.00,8496.00,
05/10/19-11:37:59:824,4,1032.00,18656.00,8060.44,22323.00,10572.00,19296.00,6894.00,11945.00,8496.00,
05/10/19-11:38:59:824,4,1032.00,18656.00,8057.37,22261.00,11405.00,19344.00,6883.00,11962.00,8518.00,
