Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
05/10/19-11:09:59:798,1,1032.00,18392.00,8076.84,18115.00,17665.00,9925.00,6602.00,11813.00,8246.00,
05/10/19-11:09:59:798,1,1032.00,18392.00,8074.79,18264.00,17941.00,9870.00,6596.00,11813.00,8244.00,
05/10/19-11:09:59:798,1,1032.00,18392.00,8072.74,18198.00,18033.00,9700.00,6605.00,11810.00,8250.00,
05/10/19-11:09:59:798,1,1032.00,18392.00,8072.74,17970.00,16569.00,9747.00,6592.00,11809.00,8242.00,
05/10/19-11:09:59:798,1,1032.00,18392.00,8073.77,18184.00,18004.00,9930.00,6605.00,11813.00,8225.00,
05/10/19-11:09:59:798,1,1032.00,18392.00,8076.84,18133.00,17721.00,9792.00,6606.00,11811.00,8213.00,
05/10/19-11:09:59:798,1,1032.00,18392.00,8076.84,18331.00,17075.00,9974.00,6616.00,11803.00,8211.00,
05/10/19-11:09:59:798,1,1032.00,18392.00,8076.84,18417.00,17969.00,9954.00,6608.00,11806.00,8216.00,
05/10/19-11:09:59:798,1,1032.00,18392.00,8076.84,18186.00,17616.00,9505.00,6600.00,11799.00,8230.00,
05/10/19-11:09:59:798,1,1032.00,18392.00,8078.89,18004.00,17955.00,9480.00,6601.00,11803.00,8228.00,
05/10/19-11:09:59:798,1,1032.00,18392.00,8077.35,17917.00,17282.00,9916.00,6600.00,11800.00,8228.00,
05/10/19-11:09:59:798,1,1032.00,18392.00,8077.35,18479.00,17146.00,10479.00,6605.00,11811.00,8228.00,
05/10/19-11:09:59:798,1,1032.00,18392.00,8077.87,18057.00,17701.00,9779.00,6613.00,11815.00,8228.00,
05/10/19-11:10:00:233,2,1032.00,18392.00,8076.84,18337.00,17465.00,9992.00,6608.00,11828.00,8252.00,
