Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
05/10/19-11:49:58:821,4,1032.00,18792.00,8052.76,17912.00,17319.00,24943.00,6947.00,11955.00,8542.00,
05/10/19-11:49:58:821,4,1032.00,18792.00,8055.83,17938.00,17360.00,24943.00,6946.00,11955.00,8532.00,
05/10/19-11:49:58:821,4,898.00,16474.00,6557.82,14274.00,15151.00,21847.00,6163.00,10469.00,7500.00,
05/10/19-11:49:58:821,4,1032.00,18796.00,7917.97,17936.00,17342.00,24943.00,7015.00,11986.00,8606.00,
05/10/19-11:49:58:821,4,1032.00,18796.00,8049.17,17948.00,17320.00,24947.00,7009.00,11976.00,8604.00,
05/10/19-11:49:58:821,4,1032.00,18794.00,8052.24,17943.00,17335.00,24944.00,6993.00,11976.00,8585.00,
05/10/19-11:49:58:821,4,1032.00,18794.00,8055.32,17924.00,17337.00,24945.00,6990.00,11970.00,8580.00,
05/10/19-11:49:58:821,4,1032.00,18797.00,8055.83,17935.00,17324.00,24946.00,6978.00,11961.00,8570.00,
05/10/19-11:49:58:821,4,1032.00,18797.00,8056.34,17936.00,17339.00,24946.00,6971.00,11957.00,8561.00,
05/10/19-11:49:58:821,4,1032.00,18795.00,8056.34,17931.00,17342.00,24944.00,6966.00,11959.00,8550.00,
05/10/19-11:49:58:821,4,1032.00,18797.00,8056.34,17929.00,17317.00,24946.00,6951.00,11962.00,8550.00,
05/10/19-11:49:58:821,4,1032.00,18797.00,8056.34,17948.00,17337.00,24945.00,6963.00,11954.00,8550.00,
05/10/19-11:49:58:821,4,1032.00,18795.00,8056.34,17946.00,17342.00,24947.00,6953.00,11949.00,8550.00,
05/10/19-11:50:00:394,5,1032.00,18793.00,8051.73,17935.00,17322.00,24944.00,6945.00,11960.00,8574.00,
05/10/19-11:50:00:394,5,1033.00,18794.00,8054.81,17946.00,17344.00,24943.00,6944.00,11948.00,8520.00,
05/10/19-11:50:00:394,5,478.00,10034.00,4623.17,9057.00,6594.00,10244.00,2934.00,4558.00,4677.00,
05/10/19-11:50:00:394,5,997.00,19927.00,5345.78,17984.00,17330.00,24942.00,7011.00,11990.00,8593.00,
05/10/19-11:50:00:394,5,1032.00,18795.00,6926.30,18012.00,17368.00,24937.00,7019.00,11989.00,8567.00,
05/10/19-11:50:00:394,5,1032.00,18793.00,7579.21,17878.00,17286.00,24947.00,7012.00,11981.00,8567.00,
05/10/19-11:50:00:394,5,1032.00,18793.00,7850.32,17831.00,17328.00,24949.00,7009.00,11973.00,8563.00,
05/10/19-11:50:00:394,5,1032.00,18793.00,7964.09,17974.00,17357.00,24940.00,7011.00,11975.00,8572.00,
05/10/19-11:50:00:394,5,1032.00,18792.00,8012.27,18086.00,17293.00,24938.00,7000.00,11968.00,8569.00,
05/10/19-11:50:00:394,5,1032.00,18793.00,8033.28,17983.00,17343.00,24941.00,6999.00,11975.00,8564.00,
05/10/19-11:50:00:394,5,1032.00,18792.00,8042.51,17839.00,17376.00,24945.00,6993.00,11974.00,8564.00,
05/10/19-11:50:00:394,5,1032.00,18792.00,8047.12,17919.00,17303.00,24945.00,7001.00,11972.00,8564.00,
05/10/19-11:50:00:394,5,1032.00,18792.00,8048.14,18066.00,17356.00,24937.00,6994.00,11967.00,8564.00,
05/10/19-11:50:00:610,5,1032.00,18792.00,8048.14,18026.00,17367.00,24940.00,6986.00,11974.00,8554.00,
05/10/19-11:50:00:610,5,1033.00,18794.00,8051.22,17815.00,17286.00,24949.00,6976.00,11974.00,8555.00,
05/10/19-11:50:00:610,5,1032.00,18792.00,8051.22,17791.00,17350.00,24951.00,6981.00,11975.00,8548.00,
05/10/19-11:50:00:610,5,1032.00,18793.00,8051.22,18041.00,17341.00,24941.00,6976.00,11963.00,8551.00,
05/10/19-11:50:00:610,5,1032.00,18792.00,8052.24,18032.00,17300.00,24934.00,6977.00,11963.00,8550.00,
05/10/19-11:50:00:610,5,1032.00,18793.00,8052.24,17825.00,17344.00,24951.00,6990.00,11963.00,8544.00,
05/10/19-11:50:00:610,5,1032.00,18793.00,8052.24,17734.00,17313.00,24952.00,6978.00,11966.00,8546.00,
05/10/19-11:50:00:610,5,1032.00,18792.00,8052.24,18009.00,17303.00,24940.00,6973.00,11967.00,8543.00,
05/10/19-11:50:00:610,5,1032.00,18793.00,8052.24,18097.00,17367.00,24940.00,6976.00,11972.00,8547.00,
05/10/19-11:50:00:610,5,1032.00,18793.00,8052.24,17891.00,17319.00,24944.00,6970.00,11963.00,8543.00,
05/10/19-11:50:00:610,5,1032.00,18794.00,8052.24,17751.00,17308.00,24952.00,6979.00,11963.00,8543.00,
05/10/19-11:50:00:610,5,1032.00,18794.00,8052.24,17978.00,17379.00,24939.00,6976.00,11968.00,8543.00,
05/10/19-11:50:00:610,5,1032.00,18792.00,8052.24,18146.00,17352.00,24932.00,6972.00,11954.00,8543.00,
05/10/19-11:50:00:827,5,1032.00,18793.00,8049.68,17987.00,17328.00,24938.00,6968.00,11972.00,8580.00,
05/10/19-11:50:00:827,5,1032.00,18792.00,8048.14,17768.00,17345.00,24948.00,6960.00,11967.00,8588.00,
05/10/19-11:50:00:827,5,1032.00,18792.00,8048.14,17928.00,17342.00,24940.00,6964.00,11973.00,8582.00,
05/10/19-11:50:00:827,5,1032.00,18792.00,8048.14,18110.00,17316.00,24932.00,6967.00,11969.00,8573.00,
05/10/19-11:50:00:827,5,1032.00,18792.00,8048.14,17981.00,17347.00,24938.00,6964.00,11970.00,8547.00,
05/10/19-11:50:00:827,5,1033.00,18792.00,8050.71,17782.00,17295.00,24952.00,6955.00,11953.00,8521.00,
05/10/19-11:50:00:827,5,1032.00,18795.00,8052.24,17835.00,17296.00,24948.00,6953.00,11955.00,8528.00,
05/10/19-11:50:00:827,5,1032.00,18793.00,8052.24,18034.00,17372.00,24936.00,6961.00,11959.00,8519.00,
05/10/19-11:50:00:827,5,1032.00,18793.00,8052.24,18007.00,17323.00,24941.00,6953.00,11954.00,8526.00,
05/10/19-11:50:00:827,5,1032.00,18794.00,8052.24,17799.00,17317.00,24949.00,6956.00,11946.00,8521.00,
05/10/19-11:50:00:827,5,1032.00,18794.00,8052.24,17785.00,17360.00,24948.00,6954.00,11955.00,8521.00,
05/10/19-11:50:00:827,5,1032.00,18794.00,8052.24,18010.00,17342.00,24942.00,6945.00,11954.00,8521.00,
05/10/19-11:50:00:827,5,1032.00,18793.00,8052.24,18090.00,17340.00,24935.00,6954.00,11955.00,8521.00,
05/10/19-11:50:01:44,5,1032.00,18793.00,8050.19,17882.00,17356.00,24945.00,6950.00,11955.00,8527.00,
05/10/19-11:50:01:44,5,1032.00,18792.00,8048.14,17797.00,17306.00,24947.00,6955.00,11955.00,8527.00,
05/10/19-11:50:01:44,5,1032.00,18792.00,8048.14,17992.00,17313.00,24934.00,6954.00,11949.00,8527.00,
05/10/19-11:50:01:44,5,1032.00,18792.00,8048.14,18136.00,17369.00,24934.00,6954.00,11950.00,8523.00,
05/10/19-11:50:01:44,5,1032.00,18792.00,8048.66,17956.00,17297.00,24943.00,6939.00,11945.00,8521.00,
05/10/19-11:50:01:44,5,1032.00,18793.00,8049.68,17804.00,17303.00,24948.00,6944.00,11954.00,8512.00,
05/10/19-11:50:01:44,5,1033.00,18794.00,8052.24,17919.00,17351.00,24943.00,6954.00,11950.00,8519.00,
05/10/19-11:50:01:44,5,1032.00,18794.00,8052.24,18090.00,17328.00,24935.00,6940.00,11949.00,8508.00,
05/10/19-11:50:01:44,5,1032.00,18792.00,8052.24,17967.00,17337.00,24941.00,6940.00,11951.00,8507.00,
05/10/19-11:50:01:44,5,1032.00,18795.00,8052.24,17765.00,17333.00,24949.00,6941.00,11945.00,8505.00,
05/10/19-11:50:01:44,5,1032.00,18794.00,8052.24,17860.00,17315.00,24947.00,6942.00,11949.00,8505.00,
05/10/19-11:50:01:44,5,1032.00,18794.00,8052.24,18050.00,17351.00,24936.00,6943.00,11954.00,8505.00,
05/10/19-11:50:01:44,5,1032.00,18793.00,8052.24,17988.00,17361.00,24942.00,6937.00,11954.00,8505.00,
05/10/19-11:50:01:261,5,1032.00,18792.00,8050.19,17794.00,17302.00,24950.00,6938.00,11962.00,8548.00,
05/10/19-11:50:01:261,5,1032.00,18793.00,8048.14,17824.00,17317.00,24944.00,6934.00,11957.00,8551.00,
05/10/19-11:50:01:261,5,1032.00,18792.00,8048.14,18057.00,17367.00,24933.00,6932.00,11965.00,8554.00,
05/10/19-11:50:01:261,5,1032.00,18792.00,8048.14,18045.00,17336.00,24935.00,6939.00,11957.00,8546.00,
05/10/19-11:50:01:261,5,1032.00,18794.00,8048.14,17879.00,17339.00,24943.00,6938.00,11955.00,8516.00,
05/10/19-11:50:01:261,5,1032.00,18792.00,8051.73,17815.00,17340.00,24948.00,6941.00,11950.00,8500.00,
05/10/19-11:50:01:261,5,1032.00,18793.00,8052.24,18013.00,17300.00,24939.00,6941.00,11941.00,8489.00,
05/10/19-11:50:01:261,5,1032.00,18795.00,8052.24,18109.00,17336.00,24934.00,6938.00,11948.00,8489.00,
05/10/19-11:50:01:261,5,1032.00,18795.00,8052.24,17936.00,17346.00,24944.00,6933.00,11943.00,8488.00,
