Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
06/28/19-16:26:09:394,2,984.00,17064.00,8239.30,17304.00,17689.00,10008.00,6876.00,12652.00,8837.00,
06/28/19-16:26:09:394,2,984.00,17064.00,8236.74,17427.00,17734.00,10043.00,6869.00,12655.00,8849.00,
06/28/19-16:26:09:394,2,984.00,17064.00,8236.74,17771.00,17896.00,10131.00,6845.00,12653.00,8857.00,
06/28/19-16:26:09:394,2,984.00,17064.00,8236.74,17771.00,18155.00,9982.00,6841.00,12656.00,8877.00,
06/28/19-16:26:09:394,2,984.00,17064.00,8236.23,17764.00,18125.00,9793.00,6833.00,12653.00,8871.00,
06/28/19-16:26:09:394,2,984.00,17064.00,8239.30,17408.00,17694.00,9938.00,6862.00,12672.00,8882.00,
06/28/19-16:26:09:394,2,984.00,17064.00,8238.79,17540.00,17753.00,9934.00,6876.00,12673.00,8895.00,
06/28/19-16:26:09:394,2,984.00,17060.00,8239.81,17558.00,17729.00,9964.00,6857.00,12672.00,8888.00,
06/28/19-16:26:09:394,2,982.00,17030.00,8244.94,17521.00,17765.00,9735.00,6860.00,12676.00,8839.00,
06/28/19-16:26:09:394,2,982.00,17030.00,8244.94,17488.00,17698.00,9747.00,6854.00,12674.00,8838.00,
06/28/19-16:26:09:394,2,982.00,17029.00,8244.94,17543.00,17766.00,9720.00,6855.00,12673.00,8838.00,
06/28/19-16:26:09:394,2,983.00,17031.00,8244.94,17542.00,17746.00,9714.00,6851.00,12674.00,8838.00,
06/28/19-16:26:09:394,2,981.00,17029.00,8244.94,17564.00,17805.00,9735.00,6846.00,12670.00,8838.00,
06/28/19-16:27:09:394,2,982.00,17027.00,8244.94,17530.00,17729.00,9742.00,6862.00,12684.00,8837.00,
06/28/19-16:27:09:394,2,983.00,17028.00,8244.94,17571.00,17782.00,9737.00,6866.00,12674.00,8842.00,
06/28/19-16:27:09:394,2,981.00,17027.00,8244.94,17554.00,17759.00,9746.00,6864.00,12678.00,8840.00,
06/28/19-16:27:09:394,2,981.00,17026.00,8244.94,17541.00,17771.00,9748.00,6855.00,12680.00,8833.00,
06/28/19-16:27:09:394,2,983.00,17026.00,8244.94,17569.00,17755.00,9742.00,6859.00,12673.00,8839.00,
06/28/19-16:27:09:394,2,983.00,17024.00,8244.94,17509.00,17775.00,9740.00,6855.00,12672.00,8832.00,
06/28/19-16:27:09:394,2,979.00,17028.00,8244.94,17606.00,17780.00,9741.00,6857.00,12676.00,8840.00,
06/28/19-16:27:09:394,2,860.00,14902.00,7320.41,15590.00,15849.00,8521.00,5993.00,11092.00,7731.00,
06/28/19-16:27:09:394,2,858.00,16308.00,6883.77,18384.00,18032.00,9753.00,6934.00,12741.00,8967.00,
06/28/19-16:27:09:394,2,981.00,17056.00,8213.68,17260.00,17790.00,9729.00,6943.00,12735.00,8960.00,
06/28/19-16:27:09:394,2,984.00,17056.00,8240.33,18009.00,17988.00,9760.00,6934.00,12744.00,8960.00,
06/28/19-16:27:09:394,2,982.00,17056.00,8243.91,18506.00,17232.00,9629.00,6921.00,12738.00,8960.00,
06/28/19-16:27:09:394,2,982.00,17056.00,8242.38,18601.00,19837.00,10884.00,6915.00,12738.00,8960.00,
