Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
06/28/19-15:39:39:891,0,1006.00,17759.00,11972.28,23266.00,12306.00,17694.00,6596.00,12136.00,8486.00,
06/28/19-15:39:39:891,0,1008.00,17760.00,11978.94,23251.00,12251.00,17706.00,6610.00,12128.00,8471.00,
06/28/19-15:39:39:891,0,1007.00,17760.00,11979.97,23257.00,12282.00,17707.00,6603.00,12126.00,8467.00,
06/28/19-15:39:39:891,0,1007.00,17760.00,11979.97,23256.00,12276.00,17713.00,6594.00,12122.00,8463.00,
06/28/19-15:39:39:891,0,1008.00,17759.00,11979.97,23264.00,12282.00,17715.00,6606.00,12134.00,8471.00,
06/28/19-15:39:39:891,0,1007.00,17760.00,11979.97,23250.00,12270.00,17709.00,6594.00,12125.00,8465.00,
06/28/19-15:39:39:891,0,1005.00,17760.00,11979.97,23252.00,12272.00,17709.00,6598.00,12127.00,8467.00,
06/28/19-15:39:39:891,0,1008.00,17760.00,11979.97,23247.00,12238.00,17709.00,6597.00,12134.00,8470.00,
06/28/19-15:39:39:891,0,1008.00,17760.00,11979.97,23266.00,12297.00,17708.00,6594.00,12124.00,8458.00,
06/28/19-15:39:39:891,0,1008.00,17758.00,11979.97,23252.00,12245.00,17715.00,6599.00,12134.00,8474.00,
06/28/19-15:39:39:891,0,1007.00,17759.00,11979.97,23258.00,12284.00,17717.00,6593.00,12127.00,8474.00,
06/28/19-15:39:39:891,0,1007.00,17758.00,11979.97,23259.00,12261.00,17699.00,6601.00,12132.00,8474.00,
06/28/19-15:39:39:891,0,1008.00,17758.00,11979.97,23248.00,12248.00,17719.00,6600.00,12130.00,8474.00,
06/28/19-16:15:12:716,1,1007.00,17754.00,11972.79,23269.00,12311.00,17721.00,6587.00,12131.00,8519.00,
06/28/19-16:15:12:716,1,1007.00,17756.00,11978.94,23262.00,12273.00,17697.00,6598.00,12129.00,8468.00,
06/28/19-16:15:12:716,1,1008.00,17758.00,11979.97,23257.00,12287.00,17722.00,6599.00,12128.00,8468.00,
06/28/19-16:15:12:716,1,1006.00,17755.00,11980.48,23259.00,12272.00,17714.00,6601.00,12122.00,8466.00,
06/28/19-16:15:12:716,1,1007.00,17758.00,11979.97,23258.00,12300.00,17706.00,6598.00,12127.00,8475.00,
06/28/19-16:15:12:716,1,1008.00,17758.00,11979.97,23257.00,12252.00,17696.00,6599.00,12127.00,8481.00,
06/28/19-16:15:12:716,1,1007.00,17758.00,11980.48,23262.00,12296.00,17715.00,6600.00,12125.00,8466.00,
06/28/19-16:15:12:716,1,1007.00,17758.00,11979.97,23253.00,12266.00,17698.00,6596.00,12132.00,8476.00,
06/28/19-16:15:12:716,1,1006.00,17756.00,11979.97,23275.00,12306.00,17707.00,6596.00,12119.00,8470.00,
06/28/19-16:15:12:716,1,1008.00,17755.00,11979.97,23254.00,12246.00,17721.00,6597.00,12129.00,8467.00,
06/28/19-16:15:12:716,1,1004.00,17753.00,11976.38,23268.00,12314.00,17692.00,6594.00,12142.00,8467.00,
06/28/19-16:15:12:716,1,1005.00,17753.00,11969.20,23264.00,12308.00,17703.00,6599.00,12140.00,8467.00,
06/28/19-16:15:12:716,1,252.00,4473.00,4642.13,7991.00,3147.00,7852.00,1727.00,3129.00,8467.00,
