Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
06/28/19-16:45:09:919,3,964.00,16464.00,8241.35,17652.00,18298.00,24068.00,6770.00,12892.00,8847.00,
06/28/19-16:45:09:919,3,964.00,16464.00,8237.76,18093.00,16885.00,24385.00,6770.00,12886.00,8849.00,
06/28/19-16:45:09:919,3,962.00,16464.00,8236.74,19113.00,18034.00,24106.00,6763.00,12887.00,8843.00,
06/28/19-16:45:09:919,3,964.00,16464.00,8236.74,15373.00,19169.00,24122.00,6766.00,12885.00,8839.00,
06/28/19-16:45:09:919,3,964.00,16464.00,8237.25,18733.00,17582.00,24085.00,6767.00,12885.00,8840.00,
06/28/19-16:45:09:919,3,964.00,16464.00,8240.84,17497.00,18138.00,24220.00,6771.00,12881.00,8822.00,
06/28/19-16:45:09:919,3,963.00,16464.00,8240.84,17836.00,18579.00,24200.00,6758.00,12890.00,8829.00,
06/28/19-16:45:09:919,3,964.00,16464.00,8241.35,17964.00,18220.00,24338.00,6759.00,12881.00,8831.00,
06/28/19-16:45:09:919,3,962.00,16464.00,8241.35,17842.00,17925.00,24352.00,6763.00,12885.00,8818.00,
06/28/19-16:45:09:919,3,965.00,16464.00,8242.38,18075.00,17595.00,24169.00,6768.00,12897.00,8825.00,
06/28/19-16:45:09:919,3,963.00,16464.00,8241.86,18522.00,17428.00,24308.00,6765.00,12890.00,8825.00,
06/28/19-16:45:09:919,3,962.00,16464.00,8242.38,17596.00,18268.00,23949.00,6761.00,12893.00,8825.00,
06/28/19-16:45:09:919,3,964.00,16464.00,8241.35,18217.00,17927.00,24270.00,6763.00,12888.00,8825.00,
06/28/19-16:46:09:387,4,967.00,16464.00,8240.84,17936.00,18445.00,23946.00,6766.00,12894.00,8885.00,
06/28/19-16:46:09:387,4,963.00,16464.00,8238.79,18056.00,18238.00,24125.00,6767.00,12900.00,8880.00,
06/28/19-16:46:09:387,4,963.00,16464.00,8236.74,17504.00,18231.00,24297.00,6763.00,12896.00,8877.00,
06/28/19-16:46:09:387,4,965.00,16464.00,8236.74,17665.00,17703.00,24219.00,6767.00,12898.00,8873.00,
06/28/19-16:46:09:387,4,965.00,16464.00,8237.25,17726.00,17822.00,24266.00,6761.00,12902.00,8850.00,
06/28/19-16:46:09:387,4,965.00,16464.00,8240.84,17389.00,17987.00,24267.00,6770.00,12901.00,8871.00,
06/28/19-16:46:09:387,4,962.00,16464.00,8240.84,17869.00,18335.00,24065.00,6759.00,12903.00,8894.00,
06/28/19-16:46:09:387,4,962.00,16464.00,8240.84,17695.00,18045.00,24176.00,6764.00,12906.00,8885.00,
06/28/19-16:46:09:387,4,962.00,16448.00,8246.48,17956.00,17907.00,24447.00,6750.00,12902.00,8825.00,
06/28/19-16:46:09:387,4,962.00,16447.00,8246.48,17958.00,17906.00,24432.00,6753.00,12899.00,8822.00,
06/28/19-16:46:09:387,4,960.00,16446.00,8244.94,17935.00,17939.00,24432.00,6751.00,12898.00,8822.00,
06/28/19-16:46:09:387,4,960.00,16448.00,8246.99,17936.00,17938.00,24441.00,6759.00,12903.00,8822.00,
06/28/19-16:46:09:387,4,960.00,16447.00,8245.96,17937.00,17903.00,24429.00,6757.00,12902.00,8822.00,
06/28/19-16:47:09:386,4,960.00,16446.00,8245.45,17944.00,17928.00,24433.00,6760.00,12896.00,8822.00,
06/28/19-16:47:09:386,4,962.00,16446.00,8245.96,17974.00,17907.00,24435.00,6749.00,12904.00,8806.00,
06/28/19-16:47:09:386,4,961.00,16447.00,8244.94,17975.00,17973.00,24425.00,6759.00,12896.00,8813.00,
06/28/19-16:47:09:386,4,961.00,16446.00,8246.99,17887.00,17904.00,24430.00,6750.00,12894.00,8813.00,
06/28/19-16:47:09:386,4,960.00,16446.00,8246.48,17914.00,17943.00,24428.00,6753.00,12905.00,8811.00,
06/28/19-16:47:09:386,4,961.00,16447.00,8245.96,17968.00,17914.00,24435.00,6748.00,12901.00,8822.00,
06/28/19-16:47:09:386,4,962.00,16445.00,8248.01,17965.00,17905.00,24421.00,6765.00,12903.00,8825.00,
06/28/19-16:47:09:386,4,961.00,16443.00,8245.96,17896.00,17932.00,24438.00,6758.00,11292.00,7717.00,
06/28/19-16:47:09:386,4,808.00,14949.00,6249.82,16008.00,15968.00,22019.00,5992.00,11401.00,7832.00,
06/28/19-16:47:09:386,4,964.00,16488.00,8203.43,17926.00,17957.00,24427.00,6837.00,12914.00,8924.00,
06/28/19-16:47:09:386,4,965.00,16489.00,8241.35,17940.00,17895.00,24436.00,6823.00,12917.00,8924.00,
06/28/19-16:47:09:386,4,964.00,16488.00,8244.43,17937.00,17912.00,24424.00,6820.00,12911.00,8924.00,
06/28/19-16:47:09:386,4,964.00,16488.00,8244.94,17867.00,17926.00,24429.00,6816.00,12902.00,8924.00,
06/28/19-16:48:09:386,4,962.00,16488.00,8240.84,17915.00,17944.00,24413.00,6809.00,12913.00,8946.00,
06/28/19-16:48:09:386,4,965.00,16488.00,8244.43,17962.00,17920.00,24428.00,6792.00,12906.00,8882.00,
06/28/19-16:48:09:386,4,961.00,16488.00,8244.94,17927.00,17899.00,24424.00,6802.00,12895.00,8887.00,
06/28/19-16:48:09:386,4,965.00,16489.00,8244.94,17933.00,17936.00,24431.00,6787.00,12895.00,8866.00,
06/28/19-16:48:09:386,4,964.00,16489.00,8244.94,17940.00,17896.00,24431.00,6791.00,12889.00,8866.00,
06/28/19-16:48:09:386,4,962.00,16488.00,8244.94,17947.00,17967.00,24411.00,6786.00,12891.00,8862.00,
06/28/19-16:48:09:386,4,961.00,16488.00,8244.94,17997.00,17937.00,24420.00,6786.00,12896.00,8857.00,
06/28/19-16:48:09:386,4,964.00,16489.00,8244.94,17910.00,17965.00,24419.00,6785.00,12884.00,7742.00,
06/28/19-16:48:09:386,4,804.00,14899.00,6219.58,15999.00,16008.00,22011.00,5979.00,11290.00,7915.00,
06/28/19-16:48:09:386,4,963.00,16536.00,8202.40,17921.00,17939.00,24422.00,6852.00,12905.00,8894.00,
06/28/19-16:48:09:386,4,964.00,16536.00,8239.81,17972.00,17952.00,24424.00,6833.00,12906.00,8894.00,
06/28/19-16:48:09:386,4,962.00,16536.00,8241.86,17960.00,17951.00,24407.00,6820.00,12900.00,8894.00,
06/28/19-16:48:09:386,4,963.00,16536.00,8244.43,17946.00,17935.00,24424.00,6818.00,12896.00,8894.00,
06/28/19-16:49:09:386,4,960.00,16536.00,8239.81,17946.00,17895.00,24424.00,6821.00,12885.00,8880.00,
06/28/19-16:49:09:386,4,963.00,16536.00,8243.40,17929.00,17906.00,24425.00,6811.00,12883.00,8865.00,
06/28/19-16:49:09:386,4,963.00,16536.00,8244.94,17908.00,17930.00,24419.00,6807.00,12889.00,8855.00,
06/28/19-16:49:09:386,4,963.00,16536.00,8244.94,17953.00,17897.00,24424.00,6802.00,12879.00,8847.00,
06/28/19-16:49:09:386,4,960.00,16536.00,8244.94,18000.00,17907.00,24413.00,6792.00,12889.00,8842.00,
06/28/19-16:49:09:386,4,961.00,16536.00,8244.94,17942.00,17943.00,24422.00,6793.00,12880.00,8835.00,
06/28/19-16:49:09:386,4,963.00,16536.00,8244.94,17921.00,17938.00,24422.00,6788.00,12877.00,8833.00,
06/28/19-16:49:09:386,4,961.00,16536.00,8244.94,17890.00,17902.00,24424.00,6783.00,12886.00,7721.00,
06/28/19-16:49:09:386,4,724.00,14036.00,6078.64,15990.00,15963.00,21978.00,5986.00,11280.00,7776.00,
06/28/19-16:49:09:386,4,962.00,16560.00,8199.84,17937.00,17959.00,24412.00,6827.00,12890.00,8888.00,
06/28/19-16:49:09:386,4,962.00,16560.00,8240.33,17925.00,17964.00,24425.00,6826.00,12890.00,8888.00,
06/28/19-16:49:09:386,4,961.00,16560.00,8240.84,17970.00,17907.00,24422.00,6825.00,12894.00,8888.00,
06/28/19-16:49:09:386,4,964.00,16560.00,8242.38,17980.00,17937.00,24428.00,6810.00,12881.00,8888.00,
06/28/19-16:50:10:386,4,960.00,16560.00,8238.79,17907.00,17935.00,24421.00,6813.00,12895.00,8895.00,
06/28/19-16:50:10:386,4,961.00,16560.00,8242.89,17908.00,17922.00,24426.00,6811.00,12871.00,8851.00,
06/28/19-16:50:10:386,4,961.00,16560.00,8244.43,17964.00,17925.00,24412.00,6808.00,12884.00,8822.00,
06/28/19-16:50:10:386,4,961.00,16560.00,8243.91,17968.00,17931.00,24416.00,6799.00,12876.00,8830.00,
06/28/19-16:50:10:386,4,961.00,16560.00,8244.43,17934.00,17920.00,24431.00,6802.00,12873.00,8826.00,
06/28/19-16:50:10:386,4,961.00,16560.00,8244.43,17918.00,17855.00,24425.00,6786.00,12863.00,8819.00,
06/28/19-16:50:10:386,4,961.00,16560.00,8244.94,17938.00,17968.00,24421.00,6780.00,12866.00,8817.00,
06/28/19-16:50:10:386,4,961.00,16560.00,8244.43,17932.00,17944.00,24417.00,6773.00,12872.00,7713.00,
06/28/19-16:50:10:386,4,721.00,13738.00,6048.41,16022.00,15969.00,21957.00,5984.00,11273.00,7753.00,
06/28/19-16:50:10:386,4,962.00,16572.00,8199.33,17947.00,17955.00,24417.00,6833.00,12878.00,8857.00,
06/28/19-16:50:10:386,4,963.00,16575.00,8239.81,17929.00,17914.00,24433.00,6818.00,12863.00,8857.00,
